Fecha,Hora,Técnico,Locación,pH,Turbidez (NTU),Cloro Residual (mg/L),Observaciones,Foto
20/04/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.76,980.00,0.00,,
21/04/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.78,972.00,0.00,,
22/04/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.75,966.00,0.00,,
23/04/2023,16:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.75,970.00,0.00,,
24/04/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.38,920.00,0.00,,
25/04/2023,14:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.50,865.00,0.00,,
26/04/2023,11:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.45,890.00,0.00,,
27/04/2023,09:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.47,915.00,0.00,,
28/04/2023,09:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.49,813.00,0.00,,
29/04/2023,10:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.50,750.00,0.00,,
30/04/2023,08:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.55,780.00,0.00,,
1/05/2023,08:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.53,640.00,0.00,,
2/05/2023,09:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.55,915.00,0.00,,
3/05/2023,11:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.45,927.00,0.00,,
4/05/2023,08:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.50,810.00,0.00,,
5/05/2023,09:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.55,910.00,0.00,,
6/05/2023,09:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.45,970.00,0.00,,
7/05/2023,10:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.45,1050.00,0.00,,
8/05/2023,10:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.40,1050.00,0.00,,
9/05/2023,09:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.40,1050.00,0.00,,
10/05/2023,09:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.40,1050.00,0.00,,
11/05/2023,12:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.45,1050.00,0.00,,
12/05/2023,08:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.45,1050.00,0.00,,
13/05/2023,07:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.45,1050.00,0.00,,
14/05/2023,08:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.40,1050.00,0.00,,
15/05/2023,09:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.40,970.00,0.00,,
16/05/2023,09:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.45,1050.00,0.00,,
17/05/2023,09:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.45,1050.00,0.00,,
18/05/2023,13:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.50,1028.00,0.00,,
19/05/2023,10:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.50,1028.00,0.00,,
20/05/2023,13:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.55,966.00,0.00,,
21/05/2023,13:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.50,960.00,0.00,,
22/05/2023,11:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.55,948.00,0.00,,
23/05/2023,13:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.54,939.00,0.00,,
24/05/2023,10:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.56,940.00,0.00,,
25/05/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.56,940.00,0.00,,
26/05/2023,14:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.50,886.00,0.00,,
27/05/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.58,861.00,0.00,,
28/05/2023,14:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.55,852.00,0.00,,
29/05/2023,16:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.56,840.00,0.00,,
30/05/2023,11:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.55,822.00,0.00,,
31/05/2023,16:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.58,810.00,0.00,,
1/06/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.60,820.00,0.00,,
2/06/2023,16:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.52,820.00,0.00,,
3/06/2023,16:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.60,800.00,0.00,,
4/06/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.60,800.00,0.00,,
5/06/2023,16:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.55,806.00,0.00,,
6/06/2023,16:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.55,800.00,0.00,,
7/06/2023,14:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.55,815.00,0.00,,
8/06/2023,14:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.55,915.00,0.00,,
9/06/2023,14:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.56,875.00,0.00,,
10/06/2023,09:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.45,930.00,0.00,,
11/06/2023,09:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.45,930.00,0.00,,
12/06/2023,10:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.45,930.00,0.00,,
13/06/2023,10:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.45,790.00,0.00,,
14/06/2023,09:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.50,815.00,0.00,,
15/06/2023,09:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.50,730.00,0.00,,
16/06/2023,09:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.45,760.00,0.00,,
17/06/2023,10:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.45,760.00,0.00,,
18/06/2023,09:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.45,690.00,0.00,,
19/06/2023,08:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.45,670.00,0.00,,
20/06/2023,08:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.45,630.00,0.00,,
21/06/2023,08:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.45,630.00,0.00,,
22/06/2023,09:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.45,710.00,0.00,,
23/06/2023,09:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.45,490.00,0.00,,
24/06/2023,08:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.45,520.00,0.00,,
25/06/2023,08:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.45,505.00,0.00,,
26/06/2023,08:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.45,490.00,0.00,,
27/06/2023,08:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.47,605.00,0.00,,
28/06/2023,09:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.47,590.00,0.00,,
29/06/2023,16:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.66,470.00,0.00,,
30/06/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.65,450.00,0.00,,
1/07/2023,13:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.60,446.00,0.00,,
2/07/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.62,445.00,0.00,,
3/07/2023,14:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.60,435.00,0.00,,
4/07/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.60,630.00,0.00,,
5/07/2023,14:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.62,420.00,0.00,,
6/07/2023,16:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.60,428.00,0.00,,
7/07/2023,16:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.63,420.00,0.00,,
8/07/2023,14:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.65,430.00,0.00,,
9/07/2023,14:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.64,427.00,0.00,,
10/07/2023,11:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.60,427.00,0.00,,
11/07/2023,14:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.60,423.00,0.00,,
12/07/2023,16:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.59,423.00,0.00,,
13/07/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.62,410.00,0.00,,
14/07/2023,16:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.60,415.00,0.00,,
15/07/2023,16:30:00,Fernando Cuesta,L95-AC-SUR-COM2,7.60,410.00,0.00,,
16/07/2023,16:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.60,412.00,0.00,,
17/07/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.66,410.00,0.00,,
18/07/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.60,410.00,0.00,,
19/07/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.65,402.00,0.00,,
20/07/2023,09:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.65,400.00,0.00,,
21/07/2023,09:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.65,400.00,0.00,,
22/07/2023,09:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.60,400.00,0.00,,
23/07/2023,10:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.55,400.00,0.00,,
24/07/2023,09:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.55,400.00,0.00,,
25/07/2023,08:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.50,400.00,0.00,,
26/07/2023,11:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.55,400.00,0.00,,
27/07/2023,08:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.50,400.00,0.00,,
28/07/2023,08:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.50,400.00,0.00,,
29/07/2023,09:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.50,400.00,0.00,,
30/07/2023,09:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.55,400.00,0.00,,
31/07/2023,08:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.50,400.00,0.00,,
1/08/2023,08:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.45,400.00,0.00,,
2/08/2023,07:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.50,400.00,0.00,,
3/08/2023,09:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.45,400.00,0.00,,
4/08/2023,06:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.50,400.00,0.00,,
5/08/2023,06:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.45,400.00,0.00,,
6/08/2023,06:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.45,400.00,0.00,,
7/08/2023,06:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.50,400.00,0.00,,
8/08/2023,08:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.50,400.00,0.00,,
9/08/2023,08:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.50,400.00,0.00,,
10/08/2023,07:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.50,400.00,0.00,,
11/08/2023,07:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.50,400.00,0.00,,
12/08/2023,07:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.50,400.00,0.00,,
13/08/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.62,400.00,0.00,,
14/08/2023,16:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.60,396.00,0.00,,
15/08/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.67,385.00,0.00,,
16/08/2023,16:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.65,380.00,0.00,,
17/08/2023,14:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.62,387.00,0.00,,
18/08/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.60,380.00,0.00,,
19/08/2023,14:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.63,390.00,0.00,,
20/08/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.65,390.00,0.00,,
21/08/2023,14:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.64,388.00,0.00,,
22/08/2023,13:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.61,376.00,0.00,,
23/08/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.68,381.00,0.00,,
24/08/2023,10:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.65,386.00,0.00,,
25/08/2023,10:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.65,386.00,0.00,,
26/08/2023,08:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.60,386.00,0.00,,
27/08/2023,09:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.55,386.00,0.00,,
28/08/2023,09:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.50,386.00,0.00,,
29/08/2023,09:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.55,386.00,0.00,,
30/08/2023,09:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.56,386.00,0.00,,
31/08/2023,09:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.60,386.00,0.00,,
1/09/2023,09:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.65,386.00,0.00,,
2/09/2023,08:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.65,386.00,0.00,,
3/09/2023,09:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.60,385.00,0.00,,
4/09/2023,09:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.65,385.00,0.00,,
5/09/2023,08:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.60,385.00,0.00,,
6/09/2023,09:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.65,385.00,0.00,,
7/09/2023,08:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.61,385.00,0.00,,
8/09/2023,08:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.60,385.00,0.00,,
9/09/2023,08:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.60,380.00,0.00,,
10/09/2023,08:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.65,380.00,0.00,,
11/09/2023,08:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.60,380.00,0.00,,
12/09/2023,08:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.55,380.00,0.00,,
13/09/2023,13:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.50,380.00,0.00,,
14/09/2023,13:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.55,380.00,0.00,,
15/09/2023,08:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.60,380.00,0.00,,
16/09/2023,08:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.56,380.00,0.00,,
17/09/2023,08:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.60,380.00,0.00,,
18/09/2023,10:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.55,380.00,0.00,,
19/09/2023,10:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.50,380.00,0.00,,
20/09/2023,10:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.55,380.00,0.00,,
21/09/2023,10:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.60,380.00,0.00,,
22/09/2023,10:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.50,380.00,0.00,,
23/09/2023,10:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.50,380.00,0.00,,
24/09/2023,10:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.50,380.00,0.00,,
25/09/2023,10:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.50,380.00,0.00,,
26/09/2023,10:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.50,380.00,0.00,,
27/09/2023,10:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.50,380.00,0.00,,
28/09/2023,10:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.50,380.00,0.00,,
29/09/2023,10:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.50,380.00,0.00,,
30/09/2023,10:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.65,380.00,0.00,,
1/10/2023,10:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.65,356.00,0.00,,
2/10/2023,14:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.65,356.00,0.00,,
3/10/2023,16:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.65,356.00,0.00,,
4/10/2023,13:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.65,356.00,0.00,,
5/10/2023,14:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.65,356.00,0.00,,
6/10/2023,13:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.65,356.00,0.00,,
7/10/2023,13:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.65,356.00,0.00,,
8/10/2023,14:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.65,356.00,0.00,,
9/10/2023,11:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.72,389.00,0.00,,
10/10/2023,11:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.72,389.00,0.00,,
11/10/2023,11:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.72,389.00,0.00,,
12/10/2023,11:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.72,389.00,0.00,,
13/10/2023,11:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.72,389.00,0.00,,
14/10/2023,11:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.72,389.00,0.00,,
15/10/2023,11:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.72,389.00,0.00,,
16/10/2023,11:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.72,389.00,0.00,,
17/10/2023,11:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.72,389.00,0.00,,
18/10/2023,11:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.72,389.00,0.00,,
19/10/2023,11:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.72,389.00,0.00,,
20/10/2023,11:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.72,389.00,0.00,,
21/10/2023,11:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.72,389.00,0.00,,
22/10/2023,11:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.72,389.00,0.00,,
23/10/2023,11:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.72,389.00,0.00,,
24/10/2023,11:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.72,389.00,0.00,,
25/10/2023,11:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.72,389.00,0.00,,
26/10/2023,11:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.72,389.00,0.00,,
27/10/2023,11:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.72,389.00,0.00,,
28/10/2023,11:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.72,389.00,0.00,,
29/10/2023,11:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.72,389.00,0.00,,
30/10/2023,11:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.72,389.00,0.00,,
31/10/2023,11:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.72,389.00,0.00,,
1/11/2023,11:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.72,389.00,0.00,,
2/11/2023,11:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.72,389.00,0.00,,
3/11/2023,11:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.72,389.00,0.00,,
4/11/2023,11:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.72,389.00,0.00,,
5/11/2023,11:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.72,389.00,0.00,,
6/11/2023,11:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.72,389.00,0.00,,
7/11/2023,11:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.72,389.00,0.00,,
8/11/2023,11:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.72,389.00,0.00,,
9/11/2023,11:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.72,389.00,0.00,,
10/11/2023,11:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.72,389.00,0.00,,
11/11/2023,14:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.72,389.00,0.00,,
12/11/2023,14:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.72,688.00,0.00,,
13/11/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.70,688.00,0.00,,
14/11/2023,13:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.66,792.00,0.00,,
15/11/2023,14:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.71,792.00,0.00,,
16/11/2023,14:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.71,792.00,0.00,,
17/11/2023,14:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.71,792.00,0.00,,
18/11/2023,11:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.71,792.00,0.00,,
19/11/2023,10:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.71,792.00,0.00,,
20/11/2023,10:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.71,792.00,0.00,,
21/11/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.71,792.00,0.00,,
22/11/2023,14:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.71,792.00,0.00,,
23/11/2023,14:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.71,792.00,0.00,,
24/11/2023,14:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.71,792.00,0.00,,
25/11/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.71,792.00,0.00,,
26/11/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.71,792.00,0.00,,
27/11/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.71,792.00,0.00,,
28/11/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.71,792.00,0.00,,
29/11/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.71,792.00,0.00,,
30/11/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.71,792.00,0.00,,
1/12/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.71,792.00,0.00,,
2/12/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.71,792.00,0.00,,
3/12/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.71,792.00,0.00,,
4/12/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.71,792.00,0.00,,
5/12/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.71,792.00,0.00,,
6/12/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.71,715.00,0.00,,
7/12/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.71,805.00,0.00,,
8/12/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.71,805.00,0.00,,
9/12/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.71,805.00,0.00,,
10/12/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.71,805.00,0.00,,
11/12/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.71,805.00,0.00,,
12/12/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.71,805.00,0.00,,
13/12/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.71,805.00,0.00,,
14/12/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.71,805.00,0.00,,
15/12/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.71,805.00,0.00,,
16/12/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.71,1050.00,0.00,,
17/12/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.71,1060.00,0.00,,
18/12/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.71,1060.00,0.00,,
19/12/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.71,1060.00,0.00,,
20/12/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.71,1060.00,0.00,,
